City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Poso,ID,84.97,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
136,Yaan,NG,76.55,overcast clouds,7.3833,8.5667,
143,Alexander City,US,79.29,clear sky,32.944,-85.9539,Hampton Inn Alexander City
145,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
146,Malinao,PH,76.73,broken clouds,7.5917,124.6889,BARBER'S FARM AND RESORT
147,Kendrapara,IN,82.29,overcast clouds,20.5042,86.416,Hotel Mayuri Palace
150,Dingle,PH,86.4,light rain,10.9995,122.6711,SEGAYA PROPERTY
154,Minab,IR,84.58,clear sky,27.1467,57.0801,Bam campground
155,El Molino,CO,77.74,few clouds,10.6523,-72.92399999999999,El Portal
156,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
160,Alamogordo,US,87.76,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
172,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
175,Kushalgarh,IN,82.74,overcast clouds,23.199,74.4507,Hotel Janvi
185,Hambantota,LK,80.22,overcast clouds,6.1241,81.1185,Bungalow 63
193,Farah,AF,80.19,clear sky,32.5,62.5,
195,Buala,SB,82.49,light rain,-8.145,159.5921,Maringe Lagoon Lodge
198,Meulaboh,ID,78.01,overcast clouds,4.1363,96.1285,Kost Pria
200,Waingapu,ID,83.14,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
202,Banda Aceh,ID,79.65,overcast clouds,5.5577,95.3222,Sulthan Hotel International
203,Mumford,GH,79.68,light rain,5.2618,-0.759,Spanish Villa
205,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
207,Tucumcari,US,89.44,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
210,Tamandare,BR,77.2,clear sky,-8.7597,-35.1047,Pousada 100 Passos
215,Gizo,SB,81.73,moderate rain,-8.103,156.8419,Imagination Island
219,Doka,SD,89.13,overcast clouds,13.5167,35.7667,
223,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
225,Banjar,ID,82.26,clear sky,-8.19,114.9675,The Hamsa Resort
226,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
228,Avera,US,87.67,overcast clouds,33.194,-82.5271,
229,Yairipok,IN,75.74,overcast clouds,24.6667,94.0667,UKHONGSHANG MANINGKAI CHINGCHA
234,Namatanai,PG,76.24,overcast clouds,-3.6667,152.4333,Namatanai Hotel
235,Manaure,CO,80.71,clear sky,11.7751,-72.4445,Hotel Palaaima
